State,Electoral Votes ,Difference in % of Votes,Swing State,2016 Status
California,53,28.80%,No,Blue
Texas,36,9.20%,No,Red
New York,27,21.30%,No,Blue
Florida,27,1.30%,Yes,Red
Pennsylvania,18,1.20%,Yes,Red
Illinois,18,16%,No,Blue
Ohio,16,8.60%,No,Red
Michigan,14,0.30%,Yes,Red
Georgia,14,5.70%,No,Red
North Carolina,13,3.80%,Yes,Red
