president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,Voters,4/30/2020,6/15/2019,4/23/2020,YouGov,B-,727,rv,0.10510527,0,44,52,43.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k2xqrwdcfx/tabs_Trump_Tweets_20190615.pdf,58478,98043,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/16/2019,4/22/2020,YouGov,B-,729,rv,0.1047393,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4e2e7z8ts0/tabs_Trump_Tweets_20190616.pdf,58479,98045,6/17/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/16/2019,4/21/2020,YouGov,B-,1202,rv,0.17269772,0,45,51,44.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f0cbavpadc/econTabReport.pdf,58498,98085,6/19/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/17/2019,4/21/2020,YouGov,B-,735,rv,0.1060422,0,44,52,43.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4z4o17rz2e/tabs_Trump_Tweets_20190617.pdf,58492,98078,6/19/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/18/2019,4/21/2020,YouGov,B-,712,rv,0.10315995,0,48,51,47.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/n55uwp3iqq/tabs_Trump_Tweets_20190618.pdf,58513,98195,6/20/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/19/2019,4/21/2020,YouGov,B-,785,rv,0.11420264,0,45,52,44.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/puqebtib1l/tabs_Trump_Tweets_20190619.pdf,58520,98212,6/21/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/20/2019,4/21/2020,YouGov,B-,730,rv,0.10609101,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/nmwg4xkfuc/tabs_Trump_Tweets_20190620.pdf,58522,98215,6/21/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/21/2019,4/21/2020,YouGov,B-,747,rv,0.10790278,0,43,54,42.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9wo2x6rq97/tabs_Trump_Tweets_20190621.pdf,58525,98228,6/23/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/22/2019,4/20/2020,YouGov,B-,753,rv,0.10812846,0,42,56,41.27513,55.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7vg3ltdg9p/tabs_Trump_Tweets_20190622.pdf,58526,98230,6/24/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/23/2019,4/20/2020,YouGov,B-,767,rv,0.10951429,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/b4228iysab/tabs_Trump_Tweets_20190623.pdf,58534,98287,6/25/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/22/2019,4/20/2020,YouGov,B-,1111,rv,0.15863153,0,44,51,43.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/obzwo5cjei/econTabReport.pdf,58550,98458,6/26/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/24/2019,4/20/2020,YouGov,B-,743,rv,0.10653361,0,47,51,46.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hk8lzo6kn3/tabs_Trump_Tweets_20190624.pdf,58548,98453,6/25/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/25/2019,4/19/2020,YouGov,B-,789,rv,0.11360734,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8u4w4uwxno/tabs_Trump_Tweets_20190625.pdf,58558,98577,6/27/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/26/2019,4/19/2020,YouGov,B-,783,rv,0.11365568,0,45,52,44.27513,51.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/dgki0w754w/tabs_Trump_Tweets_20190626.pdf,58562,98594,6/28/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/27/2019,4/19/2020,YouGov,B-,765,rv,0.11108485,0,45,54,44.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/n622u79g3n/tabs_Trump_Tweets_20190627.pdf,58568,98617,6/29/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/28/2019,4/19/2020,YouGov,B-,713,rv,0.10302329,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8utr6jpprq/tabs_Trump_Tweets_20190628.pdf,58573,98686,6/30/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/29/2019,4/19/2020,YouGov,B-,709,rv,0.10191067,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x2q4hu85rr/tabs_Trump_Tweets_20190629.pdf,58575,98689,7/1/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/30/2019,4/18/2020,YouGov,B-,746,rv,0.10664896,0,43,55,42.27513,54.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/44fej5m59k/tabs_Trump_Tweets_20190630.pdf,58594,98910,7/2/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,6/30/2019,4/18/2020,YouGov,B-,1265,rv,0.18084576,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4ggh3e3308/econTabReport.pdf,58606,98942,7/3/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/1/2019,4/18/2020,YouGov,B-,750,rv,0.10784103,0,47,50,46.27513,49.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fruxb8fbnl/tabs_Trump_Tweets_20190701.pdf,58613,99055,7/7/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/2/2019,4/18/2020,YouGov,B-,723,rv,0.10459063,0,44,53,43.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4vv5bykyu2/tabs_Trump_Tweets_20190702.pdf,58614,99057,7/7/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/4/2019,4/16/2020,YouGov,B-,735,rv,0.10695495,0,44,54,43.27513,53.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/bv5kxrgj32/tabs_Trump_Tweets_20190703.pdf,58615,99059,7/7/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/4/2019,4/16/2020,YouGov,B-,734,rv,0.10686178,0,47,51,46.27513,50.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/hlzl7td76d/tabs_Trump_Tweets_20190704.pdf,58629,99100,7/9/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/5/2019,4/16/2020,YouGov,B-,734,rv,0.10634497,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uiqetf24jx/tabs_Trump_Tweets_20190705.pdf,58630,99102,7/9/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/6/2019,4/16/2020,YouGov,B-,711,rv,0.10256749,0,43,56,42.27513,55.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2m2hbe1h6e/tabs_Trump_Tweets_20190706.pdf,58631,99104,7/9/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/7/2019,4/15/2020,YouGov,B-,759,rv,0.10892756,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/fw120yze6k/tabs_Trump_Tweets_20190707.pdf,58632,99106,7/9/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/7/2019,4/15/2020,YouGov,B-,1140,rv,0.16360661,0,43,53,42.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/al25duedar/econTabReport.pdf,58637,99137,7/10/2019,4/30/2020 15:46
Donald Trump,Voters,4/30/2020,7/8/2019,4/15/2020,YouGov,B-,794,rv,0.11448632,0,45,53,44.27513,52.554317,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/i4vnk5jzw1/tabs_Trump_Tweets_20190708.pdf,58639,99140,7/10/2019,4/30/2020 15:46
